Name,Role,Company
Matei Zaharia,Co-founder and Chief Technologist; Original Creator of Apache Spark™ and MLflow,Databricks
Matt Sandler,Senior Director of Data and Analytics at McDonald's,McDonalds Corporation
Matteo Quattrocchi,"Director, Policy-EMEA",BSA
Matthew Doxey,Senior Epidemiologist,Washington State Department of Health
Matthew Karasick,Chief Product Officer,Habu
Matthew Hayes,Vice President of SAP Business,Qlik
Matthew Powers,Developer Advocate,Databricks
Maxime Agostini,CEO,Sarus Technologies Inc
Meena Ram,"Sr Director, Enterprise Data and Records Management Office",CIBC
Megan Fogal,Solutions Architect,Databricks
Menglei Sun,Senior Software Engineer,Databricks
Mengxi Chen,Engineering Manager,Databricks
Miao Wang,Senior Engineering Manager,Adobe
Michael Milirud,Head of Product Observability,Databricks
Michael Powell,"Chief, Immunization Branch, Infectious Diseases",California Department of Public Health (CDPH)
Michael Carbin,"Founding Advisor, MosaicML and Associate Professor, Department of Electrical Engineering and Computer Science",Massachusetts Institute of Technology
Michael Green,Senior Data Scientist,Hitachi Solutions America
Michael Shtelma,Lead Specialist Solutions Architect,Databricks
Michael Lynch,Sr Director of Product Management,IQVIA
Michael Armbrust,Distinguished Engineer,Databricks
Michael Sanky,"RVP, Industry Solutions, Healthcare and Life Sciences",Databricks
Mike Del Balso,Co-founder + CEO,Tecton
Milos Colic,Tech Lead EMEA Public Sector - Sr. Solutions Architect,Databricks
Ming Dai,Software Engineer,Databricks
Miranda Luna,Product Management,Databricks
Mitch Ertle,Partner Solutions Engineer,Sigma Computing
Mitesh Shah,"VP, Market Strategy",Prophecy
Moe Steller,AI Adoption - Field Engineering,Databricks
Mohan Kolli,IT Director,LabCorp
Mojgan Mazouchi,Sr. Specialist Solutions Architect,Databricks
Morgan Hsu,"Director, Data and ML Engineering",FanDuel
Mostafa Mokhtar,Principal Software Engineer,Databricks
Muhammad Bilal Aslam,Sr Director of Product,Databricks
Murali Madireddi,Architect,Accenture
Nadine Farah,Head of Dev Rel,Onehouse
Nana Yaw Essuman,"Sr. Director, Data Engineering & Data Warehousing",Conde Nast
Naresh Yegireddi,Staff Data Engineer,Indigo AG
Natalia Demidova,"Director-Solution Principal, Data Science and Artificial Intelligence, North America",Hitachi Solutions America Ltd.
Naveed Farooqui,"Senior Director, Data and CVML Platform",Blue River Technology
Naveen Zutshi,Chief Information Officer,Databricks
Neeraj Dixit,AVP – Senior Industry Principal – Analytics Consulting,Infosys Ltd
Neha Sharma,Engineering Manager,Databricks
Neil Patel,Lead Specialist Solutions Architect,Databricks
Nic Jansma,Senior Principal Lead Engineer,Akamai
Nicholas Woodbrige,"Senior Director Commercial Data & Digital Architecture Commercial Products, Analytics, Technology",GlaxoSmithKline
Nick King,Founder & CEO,Data Kinetic
Nicolas Pelaez,Technical Marketing,Databricks
Niels Hanson,"Specialist Director, Data Science",KPMG
Nisha Paliwal,Managing VP-Enterprise Data and Machine Learning,Capital One
Nitu Nivedita,Managing Director,Accenture
Noam Bressler,ML Team Lead,Deepchecks
Noritaka Sekiyama,Principal Big Data Architect,Amazon Web Services
Oliver Dykstra,Data Engineer,Texas Rangers
Onik Kurktchian,Head of S&P Global Marketplace Workbench,S&P GLOBAL
Ori Zohar,Principal Product Marketing Manager,Databricks
Oz Katz,"CTO @ Treeverse, co-creator of lakeFS",Treeverse LTD
Pamela Pettit,Solutions Architect,Databricks
Parth Chandra,Software Engineer,Apple
Parviz Deyhim,Lead Product Specialist,Databricks
Pascal van Bellen,Senior Consultant,ORAYLIS GmbH
Patrick Hall,Principal Scientist | Visiting Faculty,BNH.AI | GWU
Patrick Wendell,Co-founder and VP of Engineering,Databricks
Paul Mracek,Senior Solutions Architect,Databricks
Paul Roome,Staff Product Manager,Databricks
Paul Lentz,SVP Business Development,AccuWeather
Paul Wellman,"VP, Executive Product Owner, Data as a Service",TD Bank
Paula Martinez,CEO & Cofounder,Marvik
Pearl Ubaru,Sr. Technical Marketing Engineer,Databricks
Pedro Boareto,Chapter Leader of Analytics Engineering,Bradesco
Phani Nalluri,Engineering Manager,DoorDash
Philippe Leonhart,"Digital Transformer, Corporate Business Services",Michelin
Piet Loubser,Senior Vice President Marketing,Privacera
Pieter Noordhuis,Sr. Staff Software Engineer,Databricks
Pouya Barrach-Yousefi,"Director, Data Strategy",Prophecy
Prashanth Babu,Lead Product Specialist,Databricks
Prateek Chawla,Founding Engineer,Monte Carlo
